no,provinsi,kab,kecamatan,desa,nik,nama,penghasilan_bulan,jumlah_tanggung_jawab,umur,ibu_hamil,lanjut_usia,disabilitas,jumlah_motor,jumlah_mobil,bpnt,bst,pkh
12,JAWA BARAT,CIREBON,ARJAWINANGUN,JUNJANG,1.67711E+15,Eunice Hogbin,500000,1,35,TIDAK,TIDAK,TIDAK,6,1,YA,YA,YA
13,JAWA BARAT,CIREBON,ARJAWINANGUN,JUNJANG,1.67502E+15,Rebecka Bourchier,3500000,1,58,TIDAK,TIDAK,TIDAK,1,2,YA,YA,YA
14,JAWA BARAT,CIREBON,ARJAWINANGUN,JUNJANG,1.63802E+15,Gertrude Baszkiewicz,2500000,1,52,TIDAK,TIDAK,TIDAK,1,1,YA,YA,YA
15,JAWA BARAT,CIREBON,ARJAWINANGUN,TEGALGUBUG,1.67101E+15,Tallulah Neward,1000000,6,50,TIDAK,TIDAK,TIDAK,5,2,YA,YA,YA
16,JAWA BARAT,CIREBON,ARJAWINANGUN,TEGALGUBUG,1.61504E+15,Alisa Vinten,1000000,9,65,YA,YA,TIDAK,2,2,YA,YA,YA
17,JAWA BARAT,CIREBON,ARJAWINANGUN,TEGALGUBUG,1.68502E+15,Eziechiele Bellord,1000000,2,39,TIDAK,TIDAK,YA,3,0,YA,YA,YA
18,JAWA BARAT,CIREBON,BABAKAN,CANGKUANG,1.63611E+15,Samuele Pealing,1000000,2,25,TIDAK,TIDAK,TIDAK,4,2,YA,YA,YA
19,JAWA BARAT,CIREBON,BABAKAN,CANGKUANG,1.60409E+15,Sigismondo Giacopelo,4000000,4,48,TIDAK,TIDAK,TIDAK,4,0,YA,YA,YA
20,JAWA BARAT,CIREBON,BABAKAN,CANGKUANG,1.61011E+15,Vivyanne Memory,3500000,2,76,TIDAK,YA,TIDAK,3,0,YA,YA,YA
21,JAWA BARAT,CIREBON,BABAKAN,CANGKUANG,1.67402E+15,Alyss Pietraszek,500000,9,63,TIDAK,YA,YA,4,2,YA,YA,YA
22,JAWA BARAT,CIREBON,BABAKAN,CANGKUANG,1.68904E+15,Jacklyn Pursglove,1000000,9,43,TIDAK,TIDAK,YA,6,2,YA,YA,YA
23,JAWA BARAT,CIREBON,BABAKAN,CANGKUANG,1.66708E+15,Blinnie Dennett,2500000,5,62,TIDAK,YA,TIDAK,3,0,YA,YA,YA
24,JAWA BARAT,CIREBON,BABAKAN,CANGKUANG,1.62109E+15,Purcell Singyard,1000000,1,76,YA,YA,TIDAK,2,2,YA,YA,YA
25,JAWA BARAT,CIREBON,BABAKAN,CANGKUANG,1.65101E+15,Winnie Dilon,2500000,9,41,TIDAK,TIDAK,TIDAK,2,1,YA,YA,YA
26,JAWA BARAT,CIREBON,BABAKAN,CANGKUANG,1.6071E+15,Ludovico Derrell,1000000,6,25,TIDAK,TIDAK,TIDAK,5,1,YA,YA,YA
27,JAWA BARAT,CIREBON,BABAKAN,GEMBONGAN,1.63903E+15,Massimo Durbyn,500000,6,68,TIDAK,YA,TIDAK,1,2,YA,YA,YA
28,JAWA BARAT,CIREBON,BABAKAN,GEMBONGAN,1.62003E+15,Christos Iskow,500000,8,43,TIDAK,TIDAK,TIDAK,3,1,YA,YA,YA
29,JAWA BARAT,CIREBON,BABAKAN,GEMBONGAN,1.68608E+15,Emanuele Spincks,1000000,2,66,TIDAK,YA,TIDAK,2,2,YA,YA,YA
30,JAWA BARAT,CIREBON,BABAKAN,KUDUMULYA,1.60102E+15,Sena Zapater,500000,7,68,TIDAK,YA,TIDAK,6,2,YA,YA,YA
31,JAWA BARAT,CIREBON,BABAKAN,KUDUMULYA,1.66401E+15,Maye Arkil,3000000,1,65,TIDAK,YA,YA,6,0,YA,YA,YA
32,JAWA BARAT,CIREBON,BABAKAN,KUDUMULYA,1.66512E+15,Lauri Mitkcov,1500000,5,48,YA,TIDAK,TIDAK,4,1,YA,YA,YA
33,JAWA BARAT,CIREBON,CILEDUG,BOJONGNEGARA,1.66402E+15,Kaylil Cavie,4000000,8,75,TIDAK,YA,TIDAK,4,0,YA,YA,YA
34,JAWA BARAT,CIREBON,CILEDUG,BOJONGNEGARA,1.69405E+15,Callie Antley,1000000,4,47,TIDAK,TIDAK,TIDAK,4,1,YA,YA,YA
35,JAWA BARAT,CIREBON,CILEDUG,BOJONGNEGARA,1.67209E+15,Fidole Blanning,1500000,9,41,TIDAK,TIDAK,TIDAK,6,0,YA,YA,YA
36,JAWA BARAT,CIREBON,CILEDUG,BOJONGNEGARA,1.6391E+15,Codi McCarron,1000000,4,54,TIDAK,TIDAK,TIDAK,2,0,YA,YA,YA
37,JAWA BARAT,CIREBON,CILEDUG,BOJONGNEGARA,1.65803E+15,Lindon Wilcott,4000000,9,78,YA,YA,TIDAK,4,0,YA,YA,YA
38,JAWA BARAT,CIREBON,CILEDUG,BOJONGNEGARA,1.60312E+15,Raina Jumonet,3500000,8,56,TIDAK,TIDAK,YA,6,2,YA,YA,YA
39,JAWA BARAT,CIREBON,CILEDUG,BOJONGNEGARA,1.67112E+15,Georgiana Lewton,1000000,7,58,YA,TIDAK,TIDAK,5,2,YA,YA,YA
40,JAWA BARAT,CIREBON,CILEDUG,CILEDUG LOR,1.6891E+15,Monte Linsley,2500000,9,57,TIDAK,TIDAK,TIDAK,5,2,YA,YA,YA
41,JAWA BARAT,CIREBON,CILEDUG,CILEDUG LOR,1.66101E+15,Bonnibelle Lowthian,1000000,6,69,TIDAK,YA,TIDAK,2,1,YA,YA,YA
42,JAWA BARAT,CIREBON,CILEDUG,CILEDUG LOR,1.69702E+15,Erl Kynaston,500000,5,69,TIDAK,YA,TIDAK,1,0,YA,YA,YA
43,JAWA BARAT,CIREBON,CILEDUG,CILEDUG LOR,1.6241E+15,Yardley Robjohns,5000000,8,36,TIDAK,TIDAK,TIDAK,1,0,YA,YA,YA
44,JAWA BARAT,CIREBON,CILEDUG,CILEDUG LOR,1.65002E+15,Annamarie Halksworth,1000000,9,65,TIDAK,YA,TIDAK,1,1,YA,YA,YA
45,JAWA BARAT,CIREBON,CILEDUG,CILEDUG LOR,1.61202E+15,Nevins Oldacres,1000000,5,36,TIDAK,TIDAK,TIDAK,3,1,YA,YA,YA
46,JAWA BARAT,CIREBON,CILEDUG,CILEDUG LOR,1.62109E+15,Phaidra Breeds,3000000,5,31,TIDAK,TIDAK,YA,2,2,YA,YA,YA
47,JAWA BARAT,CIREBON,CILEDUG,CILEDUG LOR,1.67112E+15,Clarance Willox,500000,3,70,TIDAK,YA,TIDAK,4,1,YA,YA,YA
48,JAWA BARAT,CIREBON,CILEDUG,CILEDUG LOR,1.64608E+15,Carlota Camis,500000,3,54,TIDAK,TIDAK,TIDAK,3,1,YA,YA,YA
49,JAWA BARAT,CIREBON,CILEDUG,CILEDUG LOR,1.63901E+15,Micah Huyghe,1000000,1,26,TIDAK,TIDAK,TIDAK,3,0,YA,YA,YA
50,JAWA BARAT,CIREBON,CILEDUG,CILEDUG TENGAH,1.64408E+15,Perry Heis,1000000,9,60,TIDAK,TIDAK,TIDAK,3,1,YA,YA,YA
51,JAWA BARAT,CIREBON,CILEDUG,CILEDUG TENGAH,1.63503E+15,Christalle Mahoney,1000000,6,79,TIDAK,YA,TIDAK,6,0,YA,YA,YA
52,JAWA BARAT,CIREBON,CILEDUG,CILEDUG TENGAH,1.60712E+15,Alexina Dodle,1000000,8,52,TIDAK,TIDAK,TIDAK,0,1,YA,YA,YA
53,JAWA BARAT,CIREBON,CILEDUG,CILEDUG TENGAH,1.63105E+15,Cornelia Sapseed,2500000,9,60,YA,TIDAK,TIDAK,0,2,YA,YA,YA
54,JAWA BARAT,CIREBON,CILEDUG,CILEDUG TENGAH,1.64312E+15,Cathie Cubbini,3500000,5,73,TIDAK,YA,YA,0,0,YA,YA,YA
55,JAWA BARAT,CIREBON,CILEDUG,CILEDUG TENGAH,1.61707E+15,Elene Dobsons,500000,5,75,TIDAK,YA,TIDAK,5,0,YA,YA,YA
56,JAWA BARAT,CIREBON,CILEDUG,CILEDUG TENGAH,1.6261E+15,Charlie Smallwood,1000000,4,77,TIDAK,YA,TIDAK,6,2,YA,YA,YA
57,JAWA BARAT,CIREBON,CILEDUG,CILEDUG TENGAH,1.63605E+15,Roscoe Grew,2500000,6,66,TIDAK,YA,TIDAK,1,2,YA,YA,YA
58,JAWA BARAT,CIREBON,CILEDUG,CILEDUG TENGAH,1.63603E+15,Nicolea Wych,1500000,5,59,TIDAK,TIDAK,TIDAK,1,1,YA,YA,YA
59,JAWA BARAT,CIREBON,CILEDUG,CILEDUG TENGAH,1.61107E+15,Vera Bradnam,1000000,8,28,TIDAK,TIDAK,TIDAK,6,0,YA,YA,YA
60,JAWA BARAT,CIREBON,CILEDUG,JATISEENG,1.61208E+15,Greta Cairns,1000000,6,32,YA,TIDAK,TIDAK,5,2,YA,YA,YA
61,JAWA BARAT,CIREBON,CILEDUG,JATISEENG,1.69309E+15,Hoyt Scroxton,2500000,9,45,TIDAK,TIDAK,TIDAK,1,0,YA,YA,YA
62,JAWA BARAT,CIREBON,CILEDUG,JATISEENG,1.65503E+15,Niles Cunnow,5000000,8,69,TIDAK,YA,TIDAK,4,2,YA,YA,YA
63,JAWA BARAT,CIREBON,CILEDUG,JATISEENG,1.68109E+15,Flory Pedron,1000000,1,59,TIDAK,TIDAK,YA,6,2,YA,YA,YA
64,JAWA BARAT,CIREBON,CILEDUG,JATISEENG,1.64209E+15,Christabel Peppin,3500000,2,45,YA,TIDAK,TIDAK,0,1,YA,YA,YA
65,JAWA BARAT,CIREBON,CILEDUG,JATISEENG,1.66203E+15,Kaitlin MacElharge,1000000,6,40,TIDAK,TIDAK,TIDAK,2,2,YA,YA,YA
66,JAWA BARAT,CIREBON,CILEDUG,JATISEENG,1.65502E+15,Eartha Matashkin,1000000,4,40,TIDAK,TIDAK,TIDAK,1,2,YA,YA,YA
67,JAWA BARAT,CIREBON,CILEDUG,JATISEENG,1.6401E+15,Vera Summerlie,2500000,7,47,TIDAK,TIDAK,TIDAK,6,1,YA,YA,YA
68,JAWA BARAT,CIREBON,CILEDUG,JATISEENG,1.64701E+15,Lucinda Bellon,1000000,9,72,TIDAK,YA,TIDAK,5,2,YA,YA,YA
69,JAWA BARAT,CIREBON,CILEDUG,JATISEENG,1.62004E+15,Yves Cansdall,1000000,6,48,TIDAK,TIDAK,TIDAK,5,0,YA,YA,YA
70,JAWA BARAT,CIREBON,CILEDUG,JATISEENG,1.63504E+15,Angelia Dennes,500000,5,77,TIDAK,YA,TIDAK,4,0,YA,YA,YA
71,JAWA BARAT,CIREBON,CILEDUG,JATISEENG,1.6141E+15,Leeann Dannatt,1500000,5,80,YA,YA,YA,2,1,YA,YA,YA
72,JAWA BARAT,CIREBON,CILEDUG,JATISEENG,1.6351E+15,Ardath Martinuzzi,1000000,2,64,TIDAK,YA,TIDAK,4,1,YA,YA,YA
73,JAWA BARAT,CIREBON,CILEDUG,JATISEENG,1.63812E+15,Thomasine Ubank,1000000,9,70,TIDAK,YA,TIDAK,1,2,YA,YA,YA
74,JAWA BARAT,CIREBON,CILEDUG,TENJOMAYA,1.61806E+15,Selma Aksell,500000,8,50,TIDAK,TIDAK,TIDAK,2,2,YA,YA,YA
75,JAWA BARAT,CIREBON,CILEDUG,TENJOMAYA,1.62003E+15,Devy Strawbridge,1500000,9,45,YA,TIDAK,TIDAK,4,2,YA,YA,YA
76,JAWA BARAT,CIREBON,CILEDUG,TENJOMAYA,1.60002E+15,Ronalda Scarr,1000000,9,73,TIDAK,YA,TIDAK,0,0,YA,YA,YA
77,JAWA BARAT,CIREBON,CILEDUG,TENJOMAYA,1.68901E+15,Kerk Aylott,1000000,9,27,YA,TIDAK,TIDAK,2,0,YA,YA,YA
78,JAWA BARAT,CIREBON,CILEDUG,TENJOMAYA,1.67909E+15,Gerry Henrys,3500000,7,36,TIDAK,TIDAK,YA,0,1,YA,YA,YA
79,JAWA BARAT,CIREBON,CILEDUG,TENJOMAYA,1.67904E+15,Tore Belt,2500000,8,43,YA,TIDAK,TIDAK,6,0,YA,YA,YA
80,JAWA BARAT,CIREBON,GEBANG,DOMPYONG KULON,1.62311E+15,Kimberli D'Ugo,1000000,7,38,TIDAK,TIDAK,TIDAK,2,2,YA,YA,YA
81,JAWA BARAT,CIREBON,GEBANG,DOMPYONG KULON,1.67606E+15,Sonnnie Derby,1000000,6,29,TIDAK,TIDAK,TIDAK,1,1,YA,YA,YA
82,JAWA BARAT,CIREBON,GEBANG,DOMPYONG KULON,1.64402E+15,Terrill Whatmough,1000000,2,51,YA,TIDAK,TIDAK,3,0,YA,YA,YA
83,JAWA BARAT,CIREBON,GEBANG,DOMPYONG KULON,1.64208E+15,Morton Okie,1000000,6,70,TIDAK,YA,TIDAK,6,2,YA,YA,YA
84,JAWA BARAT,CIREBON,GEBANG,DOMPYONG KULON,1.69903E+15,Aldis Llorente,500000,3,67,TIDAK,YA,TIDAK,1,2,YA,YA,YA
85,JAWA BARAT,CIREBON,GEBANG,DOMPYONG KULON,1.66501E+15,Francoise Darke,1500000,6,38,TIDAK,TIDAK,TIDAK,0,2,YA,YA,YA
86,JAWA BARAT,CIREBON,GEBANG,DOMPYONG KULON,1.62711E+15,Ara Dybbe,1500000,2,58,TIDAK,TIDAK,YA,2,2,YA,YA,YA
87,JAWA BARAT,CIREBON,GEBANG,DOMPYONG KULON,1.63004E+15,Noreen Endersby,500000,6,65,TIDAK,YA,TIDAK,1,2,YA,YA,YA
88,JAWA BARAT,CIREBON,GEBANG,DOMPYONG KULON,1.65911E+15,Peadar Frankum,1000000,2,74,TIDAK,YA,TIDAK,3,1,YA,YA,YA
89,JAWA BARAT,CIREBON,GEBANG,DOMPYONG KULON,1.69508E+15,Tannie Gives,1500000,3,62,TIDAK,YA,TIDAK,1,1,YA,YA,YA
90,JAWA BARAT,CIREBON,GEBANG,DOMPYONG KULON,1.67309E+15,Lionel Maes,500000,4,49,TIDAK,TIDAK,TIDAK,1,2,YA,YA,YA
91,JAWA BARAT,CIREBON,GEBANG,DOMPYONG KULON,1.61909E+15,Honoria Pembridge,500000,6,35,TIDAK,TIDAK,TIDAK,1,0,YA,YA,YA
92,JAWA BARAT,CIREBON,GEBANG,DOMPYONG KULON,1.60301E+15,Orin Ahrens,4000000,8,37,TIDAK,TIDAK,TIDAK,1,0,YA,YA,YA
93,JAWA BARAT,CIREBON,GEBANG,DOMPYONG KULON,1.64808E+15,Powell Surby,1000000,5,23,TIDAK,TIDAK,TIDAK,2,0,YA,YA,YA
94,JAWA BARAT,CIREBON,GEMPOL,KEMPEK,1.66812E+15,Lamar Thurstan,1000000,5,76,TIDAK,YA,TIDAK,4,1,YA,YA,YA
95,JAWA BARAT,CIREBON,GEMPOL,KEMPEK,1.68901E+15,Raye Lunt,3000000,5,79,TIDAK,YA,TIDAK,6,0,YA,YA,YA
96,JAWA BARAT,CIREBON,GEMPOL,KEMPEK,1.65111E+15,Haily Osban,4000000,2,52,TIDAK,TIDAK,YA,6,0,YA,YA,YA
97,JAWA BARAT,CIREBON,GEMPOL,KEMPEK,1.67901E+15,Denna Vardon,500000,8,77,YA,YA,TIDAK,1,0,YA,YA,YA
98,JAWA BARAT,CIREBON,GEMPOL,KEMPEK,1.62204E+15,Corena Serraillier,3500000,4,24,TIDAK,TIDAK,TIDAK,0,0,YA,YA,YA
99,JAWA BARAT,CIREBON,GEMPOL,KEMPEK,1.60203E+15,Alasdair Swin,3500000,3,27,TIDAK,TIDAK,TIDAK,5,1,YA,YA,YA
100,JAWA BARAT,CIREBON,GEMPOL,KEMPEK,1.67504E+15,Augusta Stroton,500000,1,27,TIDAK,TIDAK,TIDAK,3,0,YA,YA,YA
101,JAWA BARAT,CIREBON,GEMPOL,KEMPEK,1.6401E+15,Gunar Charleston,5000000,8,43,TIDAK,TIDAK,TIDAK,4,2,YA,YA,YA
102,JAWA BARAT,CIREBON,GEMPOL,KEMPEK,1.69106E+15,Abagail Bernini,1000000,5,25,TIDAK,TIDAK,YA,2,0,YA,YA,YA
103,JAWA BARAT,CIREBON,GEMPOL,KEMPEK,1.67309E+15,Maynard Wastling,3000000,3,70,TIDAK,YA,TIDAK,6,0,YA,YA,YA
104,JAWA BARAT,CIREBON,GEMPOL,KEMPEK,1.63109E+15,Edik Calfe,1500000,3,65,TIDAK,YA,TIDAK,6,2,YA,YA,YA
105,JAWA BARAT,CIREBON,GEMPOL,PALIMANAN BARAT,1.67801E+15,Jacenta Nesey,1000000,5,45,TIDAK,TIDAK,TIDAK,6,0,YA,YA,YA
106,JAWA BARAT,CIREBON,GEMPOL,PALIMANAN BARAT,1.63004E+15,Dexter Ragborne,4000000,4,48,TIDAK,TIDAK,TIDAK,6,1,YA,YA,YA
107,JAWA BARAT,CIREBON,GEMPOL,PALIMANAN BARAT,1.63303E+15,Cosme Fairlem,1000000,7,68,YA,YA,TIDAK,5,1,YA,YA,YA
108,JAWA BARAT,CIREBON,GEMPOL,PALIMANAN BARAT,1.60602E+15,Atlanta Thieme,1000000,2,34,TIDAK,TIDAK,TIDAK,6,2,YA,YA,YA
109,JAWA BARAT,CIREBON,GEMPOL,PALIMANAN BARAT,1.69701E+15,Ethelred Headings,1500000,5,50,TIDAK,TIDAK,TIDAK,6,2,YA,YA,YA
110,JAWA BARAT,CIREBON,GEMPOL,PALIMANAN BARAT,1.64904E+15,Jilleen Bletso,500000,8,78,TIDAK,YA,TIDAK,5,1,YA,YA,YA
111,JAWA BARAT,CIREBON,GEMPOL,PALIMANAN BARAT,1.63012E+15,Odo Scrowston,3500000,6,45,TIDAK,TIDAK,YA,0,2,YA,YA,YA
112,JAWA BARAT,CIREBON,GEMPOL,PALIMANAN BARAT,1.62509E+15,Ephrayim Goodyer,1500000,8,51,TIDAK,TIDAK,TIDAK,6,1,YA,YA,YA
113,JAWA BARAT,CIREBON,GEMPOL,PALIMANAN BARAT,1.60612E+15,Guthrie Titmarsh,500000,6,74,TIDAK,YA,TIDAK,2,1,YA,YA,YA
114,JAWA BARAT,CIREBON,GEMPOL,PALIMANAN BARAT,1.62612E+15,Avery Frantzen,2500000,5,23,TIDAK,TIDAK,TIDAK,2,1,YA,YA,YA
115,JAWA BARAT,CIREBON,GEMPOL,PALIMANAN BARAT,1.67701E+15,Betti Petracek,1000000,2,77,TIDAK,YA,TIDAK,1,1,YA,YA,YA
116,JAWA BARAT,CIREBON,GEMPOL,PALIMANAN BARAT,1.68202E+15,Lannie Coupman,3500000,5,67,TIDAK,YA,TIDAK,5,2,YA,YA,YA
117,JAWA BARAT,CIREBON,GEMPOL,PALIMANAN BARAT,1.68811E+15,Geordie Mellings,500000,2,37,YA,TIDAK,TIDAK,4,0,YA,YA,YA
118,JAWA BARAT,CIREBON,GEMPOL,PALIMANAN BARAT,1.69105E+15,Christoph Alldre,1500000,7,77,TIDAK,YA,TIDAK,5,2,YA,YA,YA
119,JAWA BARAT,CIREBON,GEMPOL,WALAHAR WINONG,1.66612E+15,Mela Thistleton,1500000,6,49,TIDAK,TIDAK,TIDAK,3,1,YA,YA,YA
120,JAWA BARAT,CIREBON,GEMPOL,WALAHAR WINONG,1.61703E+15,Kacy Naish,1000000,5,49,TIDAK,TIDAK,YA,5,0,YA,YA,YA
121,JAWA BARAT,CIREBON,GEMPOL,WALAHAR WINONG,1.66312E+15,Markus Glassopp,1000000,8,28,TIDAK,TIDAK,TIDAK,4,1,YA,YA,YA
122,JAWA BARAT,CIREBON,GEMPOL,WALAHAR WINONG,1.66308E+15,Daune Lillecrap,4000000,3,78,TIDAK,YA,TIDAK,5,2,YA,YA,YA
123,JAWA BARAT,CIREBON,GEMPOL,WALAHAR WINONG,1.66004E+15,Venus Rea,1000000,8,68,TIDAK,YA,TIDAK,5,2,YA,YA,YA
124,JAWA BARAT,CIREBON,GEMPOL,WALAHAR WINONG,1.62508E+15,Hatty Boyd,1000000,9,45,TIDAK,TIDAK,TIDAK,4,2,YA,YA,YA
125,JAWA BARAT,CIREBON,GEMPOL,WALAHAR WINONG,1.60807E+15,Aggy Horribine,4000000,3,67,TIDAK,YA,TIDAK,0,2,YA,YA,YA
126,JAWA BARAT,CIREBON,GEMPOL,WALAHAR WINONG,1.64112E+15,Kesley Hooks,3000000,3,39,TIDAK,TIDAK,TIDAK,3,2,YA,YA,YA
127,JAWA BARAT,CIREBON,GEMPOL,WALAHAR WINONG,1.67605E+15,Harli Wathell,1500000,5,80,TIDAK,YA,TIDAK,2,1,YA,YA,YA
128,JAWA BARAT,CIREBON,GEMPOL,WALAHAR WINONG,1.63612E+15,Jourdan Pay,1000000,3,24,TIDAK,TIDAK,TIDAK,2,2,YA,YA,YA
129,JAWA BARAT,CIREBON,GEMPOL,WALAHAR WINONG,1.65603E+15,Rustin Mintoft,500000,9,44,YA,TIDAK,YA,4,0,YA,YA,YA
130,JAWA BARAT,CIREBON,GUNUNGJATI,JADIMULYA,1.63803E+15,Reinaldos Barrat,1000000,4,47,TIDAK,TIDAK,TIDAK,0,0,YA,YA,YA
131,JAWA BARAT,CIREBON,GUNUNGJATI,JADIMULYA,1.68107E+15,Wallie Kubek,3500000,3,67,TIDAK,YA,TIDAK,0,0,YA,YA,YA
132,JAWA BARAT,CIREBON,GUNUNGJATI,JADIMULYA,1.67011E+15,Roxine Roly,500000,1,70,TIDAK,YA,TIDAK,2,1,YA,YA,YA
133,JAWA BARAT,CIREBON,GUNUNGJATI,JADIMULYA,1.67102E+15,Erena Bontine,500000,4,57,TIDAK,TIDAK,TIDAK,5,0,YA,YA,YA
134,JAWA BARAT,CIREBON,GUNUNGJATI,JADIMULYA,1.68503E+15,Rutger Copping,1000000,2,35,TIDAK,TIDAK,TIDAK,3,0,YA,YA,YA
135,JAWA BARAT,CIREBON,GUNUNGJATI,JADIMULYA,1.69109E+15,Bartholomew Donizeau,2500000,2,53,TIDAK,TIDAK,TIDAK,1,2,YA,YA,YA
136,JAWA BARAT,CIREBON,GUNUNGJATI,JADIMULYA,1.60108E+15,Cassaundra Dummer,1000000,4,41,TIDAK,TIDAK,TIDAK,5,0,YA,YA,YA
137,JAWA BARAT,CIREBON,GUNUNGJATI,JADIMERTA,1.64103E+15,Cyrill Chittey,3500000,1,36,TIDAK,TIDAK,YA,2,1,YA,YA,YA
138,JAWA BARAT,CIREBON,GUNUNGJATI,JADIMERTA,1.63204E+15,Erminia Davana,1000000,7,33,TIDAK,TIDAK,TIDAK,4,0,YA,YA,YA
139,JAWA BARAT,CIREBON,GUNUNGJATI,JADIMERTA,1.61812E+15,Cynthea Casazza,1000000,4,48,TIDAK,TIDAK,TIDAK,5,2,YA,YA,YA
140,JAWA BARAT,CIREBON,GUNUNGJATI,JADIMERTA,1.63812E+15,Sabra Renols,1500000,2,55,TIDAK,TIDAK,TIDAK,3,0,YA,YA,YA
141,JAWA BARAT,BANDUNG,ANTAPANI,ANTAPANI KIDUL,1.67212E+15,Fredek Uglow,500000,2,52,TIDAK,TIDAK,TIDAK,3,1,YA,YA,YA
142,JAWA BARAT,BANDUNG,ANTAPANI,ANTAPANI KIDUL,1.62103E+15,Christine Szwarc,1000000,7,72,TIDAK,YA,TIDAK,1,1,YA,YA,YA
143,JAWA BARAT,BANDUNG,ANTAPANI,ANTAPANI KIDUL,1.65605E+15,Kayle Tschursch,1000000,4,68,TIDAK,YA,TIDAK,6,1,YA,YA,YA
144,JAWA BARAT,BANDUNG,ANTAPANI,ANTAPANI KIDUL,1.64301E+15,Derk Gallagher,1500000,9,54,YA,TIDAK,YA,6,1,YA,YA,YA
145,JAWA BARAT,BANDUNG,ANTAPANI,ANTAPANI KIDUL,1.62209E+15,Agnola Giametti,3000000,3,61,YA,YA,TIDAK,3,0,YA,YA,YA
146,JAWA BARAT,BANDUNG,ANTAPANI,ANTAPANI KIDUL,1.60911E+15,Jethro Juggins,1000000,5,55,YA,TIDAK,TIDAK,2,0,YA,YA,YA
147,JAWA BARAT,BANDUNG,ANTAPANI,ANTAPANI WETAN,1.66808E+15,Ara Scougal,3000000,9,42,TIDAK,TIDAK,TIDAK,4,2,YA,YA,YA
148,JAWA BARAT,BANDUNG,ANTAPANI,ANTAPANI WETAN,1.62204E+15,Livvy Cumpton,3500000,6,61,TIDAK,YA,TIDAK,0,0,YA,YA,YA
149,JAWA BARAT,BANDUNG,ANTAPANI,ANTAPANI WETAN,1.6421E+15,Britteny Trigwell,1000000,6,24,TIDAK,TIDAK,TIDAK,0,1,YA,YA,YA
150,JAWA BARAT,BANDUNG,ANTAPANI,ANTAPANI WETAN,1.6831E+15,Chelsea Cestard,1000000,9,78,TIDAK,YA,TIDAK,4,0,YA,YA,YA
151,JAWA BARAT,BANDUNG,BATU NUNGGAL,BINONG,1.64705E+15,Netty Callington,1000000,1,50,TIDAK,TIDAK,YA,0,2,YA,YA,YA
152,JAWA BARAT,BANDUNG,BATU NUNGGAL,BINONG,1.68501E+15,Merna Toll,1000000,9,23,TIDAK,TIDAK,TIDAK,2,2,YA,YA,YA
153,JAWA BARAT,BANDUNG,BATU NUNGGAL,BINONG,1.66211E+15,Westbrook Island,1000000,4,61,TIDAK,YA,TIDAK,5,0,YA,YA,YA
154,JAWA BARAT,BANDUNG,BATU NUNGGAL,BINONG,1.6981E+15,Kippy Reddish,1000000,8,41,TIDAK,TIDAK,TIDAK,6,0,YA,YA,YA
155,JAWA BARAT,BANDUNG,BATU NUNGGAL,BINONG,1.6611E+15,Sigrid Dalgetty,1000000,4,46,TIDAK,TIDAK,TIDAK,3,1,YA,YA,YA
