provinsi,kabkota,kecamatan,desa,nik,nama,penghasilan,jmltj,umur,ibuhamil,lansia,disable,jmlmtr,jmlmob,bpnt,bst,pkh,layak
JAWA BARAT,CIREBON,ARJAWINANGUN,JUNJANG,8.12398E+12,Gertrude Baszkiewicz,2500000,1,52,TIDAK,TIDAK,TIDAK,1,1,YA,YA,YA,YA
JAWA BARAT,CIREBON,ARJAWINANGUN,TEGALGUBUG,8.12398E+12,Tallulah Neward,1000000,6,50,TIDAK,TIDAK,TIDAK,5,2,YA,YA,YA,YA
JAWA BARAT,CIREBON,ARJAWINANGUN,TEGALGUBUG,8.12398E+12,Alisa Vinten,1000000,9,65,YA,YA,TIDAK,2,2,YA,YA,YA,YA
JAWA BARAT,CIREBON,ARJAWINANGUN,TEGALGUBUG,8.12398E+12,Eziechiele Bellord,1000000,2,39,TIDAK,TIDAK,YA,3,0,YA,YA,YA,YA
JAWA BARAT,CIREBON,BABAKAN,CANGKUANG,8.12398E+12,Samuele Pealing,1000000,2,25,TIDAK,TIDAK,TIDAK,4,2,YA,YA,YA,YA
JAWA BARAT,CIREBON,BABAKAN,CANGKUANG,8.12398E+12,Sigismondo Giacopelo,4000000,4,48,TIDAK,TIDAK,TIDAK,4,0,YA,YA,YA,TIDAK
JAWA BARAT,CIREBON,BABAKAN,CANGKUANG,8.12398E+12,Vivyanne Memory,3500000,2,76,TIDAK,YA,TIDAK,3,0,YA,YA,YA,YA
JAWA BARAT,CIREBON,BABAKAN,CANGKUANG,8.12398E+12,Alyss Pietraszek,500000,9,63,TIDAK,YA,YA,4,2,YA,YA,YA,YA
JAWA BARAT,CIREBON,BABAKAN,CANGKUANG,8.12398E+12,Jacklyn Pursglove,1000000,9,43,TIDAK,TIDAK,YA,6,2,YA,YA,YA,YA
JAWA BARAT,CIREBON,BABAKAN,CANGKUANG,8.12398E+12,Blinnie Dennett,2500000,5,62,TIDAK,YA,TIDAK,3,0,YA,YA,YA,YA
JAWA BARAT,CIREBON,BABAKAN,CANGKUANG,8.12398E+12,Purcell Singyard,1000000,1,76,YA,YA,TIDAK,2,2,YA,YA,YA,YA
JAWA BARAT,CIREBON,BABAKAN,CANGKUANG,8.12398E+12,Winnie Dilon,2500000,9,41,TIDAK,TIDAK,TIDAK,2,1,YA,YA,YA,YA
JAWA BARAT,CIREBON,BABAKAN,CANGKUANG,8.12398E+12,Ludovico Derrell,1000000,6,25,TIDAK,TIDAK,TIDAK,5,1,YA,YA,YA,YA
JAWA BARAT,CIREBON,BABAKAN,GEMBONGAN,8.12398E+12,Massimo Durbyn,500000,6,68,TIDAK,YA,TIDAK,1,2,YA,YA,YA,TIDAK
JAWA BARAT,CIREBON,BABAKAN,GEMBONGAN,8.12398E+12,Christos Iskow,500000,8,43,TIDAK,TIDAK,TIDAK,3,1,YA,YA,YA,YA
JAWA BARAT,CIREBON,BABAKAN,GEMBONGAN,8.12398E+12,Emanuele Spincks,1000000,2,66,TIDAK,YA,TIDAK,2,2,YA,YA,YA,YA
JAWA BARAT,CIREBON,BABAKAN,KUDUMULYA,8.12398E+12,Sena Zapater,500000,7,68,TIDAK,YA,TIDAK,6,2,YA,YA,YA,YA
JAWA BARAT,CIREBON,BABAKAN,KUDUMULYA,8.12398E+12,Maye Arkil,3000000,1,65,TIDAK,YA,YA,6,0,YA,YA,YA,YA
JAWA BARAT,CIREBON,BABAKAN,KUDUMULYA,8.12398E+12,Lauri Mitkcov,1500000,5,48,YA,TIDAK,TIDAK,4,1,YA,YA,YA,YA
JAWA BARAT,CIREBON,CILEDUG,BOJONGNEGARA,8.12398E+12,Kaylil Cavie,4000000,8,75,TIDAK,YA,TIDAK,4,0,YA,YA,YA,YA
JAWA BARAT,CIREBON,CILEDUG,BOJONGNEGARA,8.12398E+12,Callie Antley,1000000,4,47,TIDAK,TIDAK,TIDAK,4,1,YA,YA,YA,YA
JAWA BARAT,CIREBON,CILEDUG,BOJONGNEGARA,8.12398E+12,Fidole Blanning,1500000,9,41,TIDAK,TIDAK,TIDAK,6,0,YA,YA,YA,YA
JAWA BARAT,CIREBON,CILEDUG,BOJONGNEGARA,8.12398E+12,Codi McCarron,1000000,4,54,TIDAK,TIDAK,TIDAK,2,0,YA,YA,YA,YA
JAWA BARAT,CIREBON,CILEDUG,BOJONGNEGARA,8.12398E+12,Lindon Wilcott,4000000,9,78,YA,YA,TIDAK,4,0,YA,YA,YA,YA
JAWA BARAT,CIREBON,CILEDUG,BOJONGNEGARA,8.12398E+12,Raina Jumonet,3500000,8,56,TIDAK,TIDAK,YA,6,2,YA,YA,YA,YA
JAWA BARAT,CIREBON,CILEDUG,BOJONGNEGARA,8.12398E+12,Georgiana Lewton,1000000,7,58,YA,TIDAK,TIDAK,5,2,YA,YA,YA,YA
JAWA BARAT,CIREBON,CILEDUG,CILEDUG LOR,8.12398E+12,Monte Linsley,2500000,9,57,TIDAK,TIDAK,TIDAK,5,2,YA,YA,YA,TIDAK
JAWA BARAT,CIREBON,CILEDUG,CILEDUG LOR,8.12398E+12,Bonnibelle Lowthian,1000000,6,69,TIDAK,YA,TIDAK,2,1,YA,YA,YA,YA
JAWA BARAT,CIREBON,CILEDUG,CILEDUG LOR,8.12398E+12,Erl Kynaston,500000,5,69,TIDAK,YA,TIDAK,1,0,YA,YA,YA,YA
JAWA BARAT,CIREBON,CILEDUG,CILEDUG LOR,8.12398E+12,Yardley Robjohns,5000000,8,36,TIDAK,TIDAK,TIDAK,1,0,YA,YA,YA,TIDAK
JAWA BARAT,CIREBON,CILEDUG,CILEDUG LOR,8.12398E+12,Annamarie Halksworth,1000000,9,65,TIDAK,YA,TIDAK,1,1,YA,YA,YA,YA
JAWA BARAT,CIREBON,CILEDUG,CILEDUG LOR,8.12398E+12,Nevins Oldacres,1000000,5,36,TIDAK,TIDAK,TIDAK,3,1,YA,YA,YA,YA
JAWA BARAT,CIREBON,CILEDUG,CILEDUG LOR,8.12398E+12,Phaidra Breeds,3000000,5,31,TIDAK,TIDAK,YA,2,2,YA,YA,YA,YA
JAWA BARAT,CIREBON,CILEDUG,CILEDUG LOR,8.12398E+12,Clarance Willox,500000,3,70,TIDAK,YA,TIDAK,4,1,YA,YA,YA,YA
JAWA BARAT,CIREBON,CILEDUG,CILEDUG LOR,8.12398E+12,Carlota Camis,500000,3,54,TIDAK,TIDAK,TIDAK,3,1,YA,YA,YA,YA
JAWA BARAT,CIREBON,CILEDUG,CILEDUG LOR,8.12398E+12,Micah Huyghe,1000000,1,26,TIDAK,TIDAK,TIDAK,3,0,YA,YA,YA,YA
JAWA BARAT,CIREBON,CILEDUG,CILEDUG TENGAH,8.12398E+12,Perry Heis,1000000,9,60,TIDAK,TIDAK,TIDAK,3,1,YA,YA,YA,YA
JAWA BARAT,CIREBON,CILEDUG,CILEDUG TENGAH,8.12398E+12,Christalle Mahoney,1000000,6,79,TIDAK,YA,TIDAK,6,0,YA,YA,YA,YA
JAWA BARAT,CIREBON,CILEDUG,CILEDUG TENGAH,8.12398E+12,Alexina Dodle,1000000,8,52,TIDAK,TIDAK,TIDAK,0,1,YA,YA,YA,YA
JAWA BARAT,CIREBON,CILEDUG,CILEDUG TENGAH,8.12398E+12,Cornelia Sapseed,2500000,9,60,YA,TIDAK,TIDAK,0,2,YA,YA,YA,YA
JAWA BARAT,CIREBON,CILEDUG,CILEDUG TENGAH,8.12398E+12,Cathie Cubbini,3500000,5,73,TIDAK,YA,YA,0,0,YA,YA,YA,YA
JAWA BARAT,CIREBON,CILEDUG,CILEDUG TENGAH,8.12398E+12,Elene Dobsons,500000,5,75,TIDAK,YA,TIDAK,5,0,YA,YA,YA,YA
JAWA BARAT,CIREBON,CILEDUG,CILEDUG TENGAH,8.12398E+12,Charlie Smallwood,1000000,4,77,TIDAK,YA,TIDAK,6,2,YA,YA,YA,YA
JAWA BARAT,CIREBON,CILEDUG,CILEDUG TENGAH,8.12398E+12,Roscoe Grew,2500000,6,66,TIDAK,YA,TIDAK,1,2,YA,YA,YA,YA
JAWA BARAT,CIREBON,CILEDUG,CILEDUG TENGAH,8.12398E+12,Nicolea Wych,1500000,5,59,TIDAK,TIDAK,TIDAK,1,1,YA,YA,YA,TIDAK
JAWA BARAT,CIREBON,CILEDUG,CILEDUG TENGAH,8.12398E+12,Vera Bradnam,1000000,8,28,TIDAK,TIDAK,TIDAK,6,0,YA,YA,YA,YA
JAWA BARAT,CIREBON,CILEDUG,JATISEENG,8.12398E+12,Greta Cairns,1000000,6,32,YA,TIDAK,TIDAK,5,2,YA,YA,YA,YA
JAWA BARAT,CIREBON,CILEDUG,JATISEENG,8.12398E+12,Hoyt Scroxton,2500000,9,45,TIDAK,TIDAK,TIDAK,1,0,YA,YA,YA,YA
JAWA BARAT,CIREBON,CILEDUG,JATISEENG,8.12398E+12,Niles Cunnow,5000000,8,69,TIDAK,YA,TIDAK,4,2,YA,YA,YA,YA
JAWA BARAT,CIREBON,CILEDUG,JATISEENG,8.12398E+12,Flory Pedron,1000000,1,59,TIDAK,TIDAK,YA,6,2,YA,YA,YA,YA
JAWA BARAT,CIREBON,CILEDUG,JATISEENG,8.12398E+12,Christabel Peppin,3500000,2,45,YA,TIDAK,TIDAK,0,1,YA,YA,YA,YA
JAWA BARAT,CIREBON,CILEDUG,JATISEENG,8.12398E+12,Kaitlin MacElharge,1000000,6,40,TIDAK,TIDAK,TIDAK,2,2,YA,YA,YA,TIDAK
JAWA BARAT,CIREBON,CILEDUG,JATISEENG,8.12398E+12,Eartha Matashkin,1000000,4,40,TIDAK,TIDAK,TIDAK,1,2,YA,YA,YA,YA
JAWA BARAT,CIREBON,CILEDUG,JATISEENG,8.12398E+12,Vera Summerlie,2500000,7,47,TIDAK,TIDAK,TIDAK,6,1,YA,YA,YA,YA
JAWA BARAT,CIREBON,CILEDUG,JATISEENG,8.12398E+12,Lucinda Bellon,1000000,9,72,TIDAK,YA,TIDAK,5,2,YA,YA,YA,YA
JAWA BARAT,CIREBON,CILEDUG,JATISEENG,8.12398E+12,Yves Cansdall,1000000,6,48,TIDAK,TIDAK,TIDAK,5,0,YA,YA,YA,YA
JAWA BARAT,CIREBON,CILEDUG,JATISEENG,8.12398E+12,Angelia Dennes,500000,5,77,TIDAK,YA,TIDAK,4,0,YA,YA,YA,TIDAK
JAWA BARAT,CIREBON,CILEDUG,JATISEENG,8.12398E+12,Leeann Dannatt,1500000,5,80,YA,YA,YA,2,1,YA,YA,YA,YA
JAWA BARAT,CIREBON,CILEDUG,JATISEENG,8.12398E+12,Ardath Martinuzzi,1000000,2,64,TIDAK,YA,TIDAK,4,1,YA,YA,YA,YA
JAWA BARAT,CIREBON,CILEDUG,JATISEENG,8.12398E+12,Thomasine Ubank,1000000,9,70,TIDAK,YA,TIDAK,1,2,YA,YA,YA,YA
JAWA BARAT,CIREBON,CILEDUG,TENJOMAYA,8.12398E+12,Selma Aksell,500000,8,50,TIDAK,TIDAK,TIDAK,2,2,YA,YA,YA,TIDAK
JAWA BARAT,CIREBON,CILEDUG,TENJOMAYA,8.12398E+12,Devy Strawbridge,1500000,9,45,YA,TIDAK,TIDAK,4,2,YA,YA,YA,YA
JAWA BARAT,CIREBON,CILEDUG,TENJOMAYA,8.12398E+12,Ronalda Scarr,1000000,9,73,TIDAK,YA,TIDAK,0,0,YA,YA,YA,YA
JAWA BARAT,CIREBON,CILEDUG,TENJOMAYA,8.12398E+12,Kerk Aylott,1000000,9,27,YA,TIDAK,TIDAK,2,0,YA,YA,YA,YA
JAWA BARAT,CIREBON,CILEDUG,TENJOMAYA,8.12398E+12,Gerry Henrys,3500000,7,36,TIDAK,TIDAK,YA,0,1,YA,YA,YA,YA
JAWA BARAT,CIREBON,CILEDUG,TENJOMAYA,8.12398E+12,Tore Belt,2500000,8,43,YA,TIDAK,TIDAK,6,0,YA,YA,YA,YA
JAWA BARAT,CIREBON,GEBANG,DOMPYONG KULON,8.12398E+12,Kimberli D'Ugo,1000000,7,38,TIDAK,TIDAK,TIDAK,2,2,YA,YA,YA,YA
JAWA BARAT,CIREBON,GEBANG,DOMPYONG KULON,8.12398E+12,Sonnnie Derby,1000000,6,29,TIDAK,TIDAK,TIDAK,1,1,YA,YA,YA,YA
JAWA BARAT,CIREBON,GEBANG,DOMPYONG KULON,8.12398E+12,Terrill Whatmough,1000000,2,51,YA,TIDAK,TIDAK,3,0,YA,YA,YA,YA
JAWA BARAT,CIREBON,GEBANG,DOMPYONG KULON,8.12398E+12,Morton Okie,1000000,6,70,TIDAK,YA,TIDAK,6,2,YA,YA,YA,YA
JAWA BARAT,CIREBON,GEBANG,DOMPYONG KULON,8.12398E+12,Aldis Llorente,500000,3,67,TIDAK,YA,TIDAK,1,2,YA,YA,YA,YA
JAWA BARAT,CIREBON,GEBANG,DOMPYONG KULON,8.12398E+12,Francoise Darke,1500000,6,38,TIDAK,TIDAK,TIDAK,0,2,YA,YA,YA,YA
JAWA BARAT,CIREBON,GEBANG,DOMPYONG KULON,8.12398E+12,Ara Dybbe,1500000,2,58,TIDAK,TIDAK,YA,2,2,YA,YA,YA,TIDAK
JAWA BARAT,CIREBON,GEBANG,DOMPYONG KULON,8.12398E+12,Noreen Endersby,500000,6,65,TIDAK,YA,TIDAK,1,2,YA,YA,YA,YA
JAWA BARAT,CIREBON,GEBANG,DOMPYONG KULON,8.12398E+12,Peadar Frankum,1000000,2,74,TIDAK,YA,TIDAK,3,1,YA,YA,YA,YA
JAWA BARAT,CIREBON,GEBANG,DOMPYONG KULON,8.12398E+12,Tannie Gives,1500000,3,62,TIDAK,YA,TIDAK,1,1,YA,YA,YA,YA
JAWA BARAT,CIREBON,GEBANG,DOMPYONG KULON,8.12398E+12,Lionel Maes,500000,4,49,TIDAK,TIDAK,TIDAK,1,2,YA,YA,YA,YA
JAWA BARAT,CIREBON,GEBANG,DOMPYONG KULON,8.12398E+12,Honoria Pembridge,500000,6,35,TIDAK,TIDAK,TIDAK,1,0,YA,YA,YA,YA
JAWA BARAT,CIREBON,GEBANG,DOMPYONG KULON,8.12398E+12,Orin Ahrens,4000000,8,37,TIDAK,TIDAK,TIDAK,1,0,YA,YA,YA,TIDAK
JAWA BARAT,CIREBON,GEBANG,DOMPYONG KULON,8.12398E+12,Powell Surby,1000000,5,23,TIDAK,TIDAK,TIDAK,2,0,YA,YA,YA,YA
JAWA BARAT,CIREBON,GEMPOL,KEMPEK,8.12398E+12,Lamar Thurstan,1000000,5,76,TIDAK,YA,TIDAK,4,1,YA,YA,YA,YA
JAWA BARAT,CIREBON,GEMPOL,KEMPEK,8.12398E+12,Raye Lunt,3000000,5,79,TIDAK,YA,TIDAK,6,0,YA,YA,YA,YA
JAWA BARAT,CIREBON,GEMPOL,KEMPEK,8.12398E+12,Haily Osban,4000000,2,52,TIDAK,TIDAK,YA,6,0,YA,YA,YA,YA
JAWA BARAT,CIREBON,GEMPOL,KEMPEK,8.12398E+12,Denna Vardon,500000,8,77,YA,YA,TIDAK,1,0,YA,YA,YA,YA
JAWA BARAT,CIREBON,GEMPOL,KEMPEK,8.12398E+12,Corena Serraillier,3500000,4,24,TIDAK,TIDAK,TIDAK,0,0,YA,YA,YA,YA
JAWA BARAT,CIREBON,GEMPOL,KEMPEK,8.12398E+12,Alasdair Swin,3500000,3,27,TIDAK,TIDAK,TIDAK,5,1,YA,YA,YA,YA
JAWA BARAT,CIREBON,GEMPOL,KEMPEK,8.12398E+12,Augusta Stroton,500000,1,27,TIDAK,TIDAK,TIDAK,3,0,YA,YA,YA,YA
JAWA BARAT,CIREBON,GEMPOL,KEMPEK,8.12398E+12,Gunar Charleston,5000000,8,43,TIDAK,TIDAK,TIDAK,4,2,YA,YA,YA,TIDAK
JAWA BARAT,CIREBON,GEMPOL,KEMPEK,8.12398E+12,Abagail Bernini,1000000,5,25,TIDAK,TIDAK,YA,2,0,YA,YA,YA,YA
JAWA BARAT,CIREBON,GEMPOL,KEMPEK,8.12398E+12,Maynard Wastling,3000000,3,70,TIDAK,YA,TIDAK,6,0,YA,YA,YA,YA
JAWA BARAT,CIREBON,GEMPOL,KEMPEK,8.12398E+12,Edik Calfe,1500000,3,65,TIDAK,YA,TIDAK,6,2,YA,YA,YA,YA
JAWA BARAT,CIREBON,GEMPOL,PALIMANAN BARAT,8.12398E+12,Jacenta Nesey,1000000,5,45,TIDAK,TIDAK,TIDAK,6,0,YA,YA,YA,YA
JAWA BARAT,CIREBON,GEMPOL,PALIMANAN BARAT,8.12398E+12,Dexter Ragborne,4000000,4,48,TIDAK,TIDAK,TIDAK,6,1,YA,YA,YA,YA
JAWA BARAT,CIREBON,GEMPOL,PALIMANAN BARAT,8.12398E+12,Cosme Fairlem,1000000,7,68,YA,YA,TIDAK,5,1,YA,YA,YA,YA
JAWA BARAT,CIREBON,GEMPOL,PALIMANAN BARAT,8.12398E+12,Atlanta Thieme,1000000,2,34,TIDAK,TIDAK,TIDAK,6,2,YA,YA,YA,YA
JAWA BARAT,CIREBON,GEMPOL,PALIMANAN BARAT,8.12398E+12,Ethelred Headings,1500000,5,50,TIDAK,TIDAK,TIDAK,6,2,YA,YA,YA,YA
JAWA BARAT,CIREBON,GEMPOL,PALIMANAN BARAT,8.12398E+12,Jilleen Bletso,500000,8,78,TIDAK,YA,TIDAK,5,1,YA,YA,YA,YA
JAWA BARAT,CIREBON,GEMPOL,PALIMANAN BARAT,8.12398E+12,Odo Scrowston,3500000,6,45,TIDAK,TIDAK,YA,0,2,YA,YA,YA,YA
JAWA BARAT,CIREBON,GEMPOL,PALIMANAN BARAT,8.12398E+12,Ephrayim Goodyer,1500000,8,51,TIDAK,TIDAK,TIDAK,6,1,YA,YA,YA,YA
JAWA BARAT,CIREBON,GEMPOL,PALIMANAN BARAT,8.12398E+12,Guthrie Titmarsh,500000,6,74,TIDAK,YA,TIDAK,2,1,YA,YA,YA,YA
JAWA BARAT,CIREBON,GEMPOL,PALIMANAN BARAT,8.12398E+12,Avery Frantzen,2500000,5,23,TIDAK,TIDAK,TIDAK,2,1,YA,YA,YA,YA
JAWA BARAT,CIREBON,GEMPOL,PALIMANAN BARAT,8.12398E+12,Betti Petracek,1000000,2,77,TIDAK,YA,TIDAK,1,1,YA,YA,YA,YA
JAWA BARAT,CIREBON,GEMPOL,PALIMANAN BARAT,8.12398E+12,Lannie Coupman,3500000,5,67,TIDAK,YA,TIDAK,5,2,YA,YA,YA,YA
JAWA BARAT,CIREBON,GEMPOL,PALIMANAN BARAT,8.12398E+12,Geordie Mellings,500000,2,37,YA,TIDAK,TIDAK,4,0,YA,YA,YA,YA
JAWA BARAT,CIREBON,GEMPOL,PALIMANAN BARAT,8.12398E+12,Christoph Alldre,1500000,7,77,TIDAK,YA,TIDAK,5,2,YA,YA,YA,YA
JAWA BARAT,CIREBON,GEMPOL,WALAHAR WINONG,8.12398E+12,Mela Thistleton,1500000,6,49,TIDAK,TIDAK,TIDAK,3,1,YA,YA,YA,YA
JAWA BARAT,CIREBON,GEMPOL,WALAHAR WINONG,8.12398E+12,Kacy Naish,1000000,5,49,TIDAK,TIDAK,YA,5,0,YA,YA,YA,TIDAK
JAWA BARAT,CIREBON,GEMPOL,WALAHAR WINONG,8.12398E+12,Markus Glassopp,1000000,8,28,TIDAK,TIDAK,TIDAK,4,1,YA,YA,YA,YA
JAWA BARAT,CIREBON,GEMPOL,WALAHAR WINONG,8.12398E+12,Daune Lillecrap,4000000,3,78,TIDAK,YA,TIDAK,5,2,YA,YA,YA,TIDAK
JAWA BARAT,CIREBON,GEMPOL,WALAHAR WINONG,8.12398E+12,Venus Rea,1000000,8,68,TIDAK,YA,TIDAK,5,2,YA,YA,YA,YA
JAWA BARAT,CIREBON,GEMPOL,WALAHAR WINONG,8.12398E+12,Hatty Boyd,1000000,9,45,TIDAK,TIDAK,TIDAK,4,2,YA,YA,YA,YA
JAWA BARAT,CIREBON,GEMPOL,WALAHAR WINONG,8.12398E+12,Aggy Horribine,4000000,3,67,TIDAK,YA,TIDAK,0,2,YA,YA,YA,YA
JAWA BARAT,CIREBON,GEMPOL,WALAHAR WINONG,8.12398E+12,Kesley Hooks,3000000,3,39,TIDAK,TIDAK,TIDAK,3,2,YA,YA,YA,YA
JAWA BARAT,CIREBON,GEMPOL,WALAHAR WINONG,8.12398E+12,Harli Wathell,1500000,5,80,TIDAK,YA,TIDAK,2,1,YA,YA,YA,YA
JAWA BARAT,CIREBON,GEMPOL,WALAHAR WINONG,8.12398E+12,Jourdan Pay,1000000,3,24,TIDAK,TIDAK,TIDAK,2,2,YA,YA,YA,YA
JAWA BARAT,CIREBON,GEMPOL,WALAHAR WINONG,8.12398E+12,Rustin Mintoft,500000,9,44,YA,TIDAK,YA,4,0,YA,YA,YA,YA
JAWA BARAT,CIREBON,GUNUNGJATI,JADIMULYA,8.12398E+12,Reinaldos Barrat,1000000,4,47,TIDAK,TIDAK,TIDAK,0,0,YA,YA,YA,YA
JAWA BARAT,CIREBON,GUNUNGJATI,JADIMULYA,8.12398E+12,Wallie Kubek,3500000,3,67,TIDAK,YA,TIDAK,0,0,YA,YA,YA,TIDAK
JAWA BARAT,CIREBON,GUNUNGJATI,JADIMULYA,8.12398E+12,Roxine Roly,500000,1,70,TIDAK,YA,TIDAK,2,1,YA,YA,YA,YA
JAWA BARAT,CIREBON,GUNUNGJATI,JADIMULYA,8.12398E+12,Erena Bontine,500000,4,57,TIDAK,TIDAK,TIDAK,5,0,YA,YA,YA,YA
JAWA BARAT,CIREBON,GUNUNGJATI,JADIMULYA,8.12398E+12,Rutger Copping,1000000,2,35,TIDAK,TIDAK,TIDAK,3,0,YA,YA,YA,YA
JAWA BARAT,CIREBON,GUNUNGJATI,JADIMULYA,8.12398E+12,Bartholomew Donizeau,2500000,2,53,TIDAK,TIDAK,TIDAK,1,2,YA,YA,YA,TIDAK
JAWA BARAT,CIREBON,GUNUNGJATI,JADIMULYA,8.12398E+12,Cassaundra Dummer,1000000,4,41,TIDAK,TIDAK,TIDAK,5,0,YA,YA,YA,YA
JAWA BARAT,CIREBON,GUNUNGJATI,JADIMERTA,8.12398E+12,Cyrill Chittey,3500000,1,36,TIDAK,TIDAK,YA,2,1,YA,YA,YA,TIDAK
JAWA BARAT,CIREBON,GUNUNGJATI,JADIMERTA,8.12398E+12,Erminia Davana,1000000,7,33,TIDAK,TIDAK,TIDAK,4,0,YA,YA,YA,YA
JAWA BARAT,CIREBON,GUNUNGJATI,JADIMERTA,8.12398E+12,Cynthea Casazza,1000000,4,48,TIDAK,TIDAK,TIDAK,5,2,YA,YA,YA,YA
JAWA BARAT,CIREBON,GUNUNGJATI,JADIMERTA,8.12398E+12,Sabra Renols,1500000,2,55,TIDAK,TIDAK,TIDAK,3,0,YA,YA,YA,YA
JAWA BARAT,BANDUNG,ANTAPANI,ANTAPANI KIDUL,8.12398E+12,Fredek Uglow,500000,2,52,TIDAK,TIDAK,TIDAK,3,1,YA,YA,YA,YA
JAWA BARAT,BANDUNG,ANTAPANI,ANTAPANI KIDUL,8.12398E+12,Christine Szwarc,1000000,7,72,TIDAK,YA,TIDAK,1,1,YA,YA,YA,TIDAK
JAWA BARAT,BANDUNG,ANTAPANI,ANTAPANI KIDUL,8.12398E+12,Kayle Tschursch,1000000,4,68,TIDAK,YA,TIDAK,6,1,YA,YA,YA,TIDAK
JAWA BARAT,BANDUNG,ANTAPANI,ANTAPANI KIDUL,8.12398E+12,Derk Gallagher,1500000,9,54,YA,TIDAK,YA,6,1,YA,YA,YA,YA
JAWA BARAT,BANDUNG,ANTAPANI,ANTAPANI KIDUL,8.12398E+12,Agnola Giametti,3000000,3,61,YA,YA,TIDAK,3,0,YA,YA,YA,TIDAK
JAWA BARAT,BANDUNG,ANTAPANI,ANTAPANI KIDUL,8.12398E+12,Jethro Juggins,1000000,5,55,YA,TIDAK,TIDAK,2,0,YA,YA,YA,YA
JAWA BARAT,BANDUNG,ANTAPANI,ANTAPANI WETAN,8.12398E+12,Ara Scougal,3000000,9,42,TIDAK,TIDAK,TIDAK,4,2,YA,YA,YA,YA
JAWA BARAT,BANDUNG,ANTAPANI,ANTAPANI WETAN,8.12398E+12,Livvy Cumpton,3500000,6,61,TIDAK,YA,TIDAK,0,0,YA,YA,YA,TIDAK
JAWA BARAT,BANDUNG,ANTAPANI,ANTAPANI WETAN,8.12398E+12,Britteny Trigwell,1000000,6,24,TIDAK,TIDAK,TIDAK,0,1,YA,YA,YA,TIDAK
JAWA BARAT,BANDUNG,ANTAPANI,ANTAPANI WETAN,8.12398E+12,Chelsea Cestard,1000000,9,78,TIDAK,YA,TIDAK,4,0,YA,YA,YA,YA
JAWA BARAT,BANDUNG,BATU NUNGGAL,BINONG,8.12398E+12,Netty Callington,1000000,1,50,TIDAK,TIDAK,YA,0,2,YA,YA,YA,YA
JAWA BARAT,BANDUNG,BATU NUNGGAL,BINONG,8.12398E+12,Merna Toll,1000000,9,23,TIDAK,TIDAK,TIDAK,2,2,YA,YA,YA,TIDAK
JAWA BARAT,BANDUNG,BATU NUNGGAL,BINONG,8.12398E+12,Westbrook Island,1000000,4,61,TIDAK,YA,TIDAK,5,0,YA,YA,YA,TIDAK
